model,num_frames,params_M,flops_GF,latency_avg_ms,latency_p50_ms,latency_p95_ms,peak_mem_MB,FVD
DiT3D-M/2,16,230.204432,234.163011584,19.884632658213377,19.804242998361588,19.819284789264202,2351.08984375,71.7
DiT3D-M/2,32,230.220816,468.324712448,71.19360687211156,71.10894657671452,71.20316382497549,2667.21484375,148.3
DiT3D-M/2,64,230.253584,936.648114176,186.85983628034592,186.76789570599794,186.84642761945724,4753.32666015625,232.1
DiT3D-M/2,128,230.31912,1873.294917632,584.8749670945108,584.7974768839777,585.0408440455794,8595.96484375,261.506
Latte-M/2,16,230.204432,157.75956992,14.931649919599295,14.85037012025714,14.89916630089283,2255.83984375,75.7
Latte-M/2,32,230.220816,313.101910016,22.78677796944976,22.706470917910337,22.72061165422201,1406.10302734375,156.0
Latte-M/2,64,230.253584,623.786590208,39.456149972975254,39.353139232844114,39.4572876393795,1462.35302734375,302.4
Latte-M/2,128,230.31912,1245.155950592,74.01983490213752,73.92525300383568,74.0321185439825,2453.96484375,354.4
FusedMatLatte-M/64-256/2-concat,16,270.98216,247.09824512,24.717674758285284,24.61388474330306,24.638529866933823,1632.29833984375,67.2
FusedMatLatte-M/64-256/2-concat,32,270.998544,494.19517952,39.12135364487767,39.01437856256962,39.04816973954439,1689.42333984375,126.9
FusedMatLatte-M/64-256/2-concat,64,271.031312,988.38904832,68.40470641851425,68.27467260882258,68.40914208441973,1809.67333984375,225.3
FusedMatLatte-M/64-256/2-concat,128,271.096848,1976.77678592,130.2714149095118,130.1579838618636,130.26022352278233,2074.17333984375,256.4
MatLatte-M/64-256/2,16,233.178128,208.393207808,20.877438373863697,20.79135226085782,20.806720480322838,2289.87890625,70.3
MatLatte-M/64-256/2,32,233.194512,416.785104896,33.30872783437371,33.21808157488704,33.24579540640116,1677.3423254275,138.8
MatLatte-M/64-256/2,64,233.22728,833.568899072,58.11548689380288,58.016323018819094,58.12280811369419,1577.39208984375,228.0
MatLatte-M/64-256/2,128,233.292816,1667.136487424,110.11716371402144,110.022715292871,110.13455037027597,1825.89208984375,265.6
